stage	O2_1	O2_2	O2_3	O2_4	N2_1	N2_2	N2_3	N2_4	Ar_1	Ar_2	Ar_3	Ar_4
1	0,15943085	0,27054593	0,36004052	7,42E-10	0,82976943	0,71696633	0,61118346	0,9999991	0,010799718	0,012487719	0,028776012	9,18E-07
2	0,16312446	0,3900731	0,4860299	7,42E-10	0,82595956	0,5935206	0,47840518	0,9999991	0,010915968	0,016406346	0,03556492	9,18E-07
3	0,16681805	0,41283572	0,5099935	7,42E-10	0,8221497	0,5704118	0,45410132	0,9999991	0,011032217	0,016752476	0,035905205	9,18E-07
4	0,17051166	0,4348131	0,5142137	7,43E-10	0,8183399	0,54828155	0,45001435	0,9999991	0,011148467	0,016905326	0,03577195	9,18E-07
5	0,17420527	0,44527757	0,5148409	7,95E-10	0,81453	0,53784853	0,44945088	0,9999991	0,011264716	0,01687389	0,035708223	9,18E-07
6	0,17789888	0,449747	0,5148118	5,58E-09	0,81072015	0,53343153	0,4494999	0,99999905	0,011380966	0,016821466	0,035688255	9,19E-07
7	0,1815925	0,45151615	0,51466113	4,38E-07	0,8069103	0,5316975	0,44965637	0,99999857	0,011497215	0,016786356	0,03568251	1,00E-06
8	0,1852861	0,45210367	0,5144876	3,93E-05	0,8031004	0,53112864	0,44983172	0,9999544	0,011613465	0,016767655	0,03568063	6,27E-06
9	0,18897972	0,452178	0,51431006	0,003514134	0,79929054	0,53106314	0,4500102	0,9961591	0,011729714	0,016758837	0,03567971	3,27E-04
10	0,19267333	0,45203063	0,51413196	0,26528618	0,7954807	0,53121424	0,45018902	0,7181619	0,011845964	0,016755136	0,035679016	0,016551925
11	0,19636694	0,45178843	0,51395404	0,35708165	0,79167086	0,53145766	0,45036757	0,6230006	0,011962214	0,016753893	0,03567837	0,019917732
12	0,20006055	0,45150644	0,5137764	0,3834925	0,787861	0,5317398	0,45054582	0,5962504	0,012078463	0,016753783	0,03567773	0,020257052
13	0,20375416	0,45120856	0,51359916	0,39058766	0,7840511	0,53203726	0,45072374	0,5892308	0,012194713	0,016754184	0,03567709	0,02018158
14	0,20744777	0,4509051	0,51342225	0,39236882	0,78024125	0,53234005	0,4509013	0,58751506	0,012310962	0,016754808	0,035676442	0,020116096
15	0,21114138	0,45060053	0,5132457	0,3927096	0,7764314	0,5326439	0,4510785	0,5872048	0,012427212	0,016755529	0,03567579	0,020085549
16	0,21483499	0,4502967	0,5130695	0,39266005	0,7726216	0,532947	0,45125538	0,58726716	0,012543461	0,01675629	0,03567513	0,020072812
17	0,2185286	0,44999447	0,5128936	0,39250448	0,7688117	0,5332484	0,45143193	0,58742845	0,012659711	0,016757071	0,035674468	0,020067068
18	0,22222221	0,44969416	0,5127181	0,3923202	0,76500183	0,533548	0,45160812	0,587616	0,01277596	0,016757859	0,035673797	0,020063786
19	0,22591582	0,44939592	0,5125429	0,39212835	0,76119196	0,5338454	0,45178398	0,58781034	0,01289221	0,016758649	0,035673123	0,02006132
20	0,22960943	0,4490998	0,5123681	0,3919347	0,7573821	0,53414077	0,4519595	0,5880062	0,01300846	0,01675944	0,03567244	0,020059114
21	0,23330304	0,4488058	0,51219356	0,3917409	0,7535722	0,53443396	0,45213467	0,5882021	0,013124709	0,016760232	0,035671752	0,020056989
22	0,23699665	0,42529324	0,5071374	0,34767962	0,7497624	0,5575277	0,4523684	0,630777	0,013240959	0,017179057	0,040494174	0,02154336
23	0,24069026	0,39560366	0,5055681	0,33237335	0,74595255	0,5871008	0,4527997	0,6452742	0,013357208	0,01729552	0,0416322	0,022352464
24	0,24438387	0,39746252	0,5050134	0,3267877	0,7421427	0,5849392	0,45308328	0,6504785	0,013473458	0,017598294	0,04190331	0,02273378
25	0,24807748	0,39986488	0,50473785	0,3246405	0,7383328	0,5824336	0,45329413	0,65245986	0,013589706	0,017701535	0,041968018	0,022899624
26	0,2517711	0,4010149	0,5045366	0,3237322	0,73452294	0,5812612	0,45348018	0,6533004	0,013705956	0,017723894	0,041983165	0,022967365
27	0,2554647	0,40138838	0,504355	0,32327428	0,73071307	0,5808872	0,45365864	0,6537328	0,013822205	0,017724419	0,041986324	0,022992965
28	0,2591583	0,40137285	0,5041787	0,32298106	0,72690326	0,5809058	0,45383474	0,6540178	0,013938455	0,017721364	0,04198657	0,023001134
29	0,26285192	0,5530712	0,70772177	0,36319372	0,7230934	0,4251219	0,22732452	0,594981	0,014054704	0,021806885	0,06495373	0,04182526
30	0,26654553	0,6007183	0,8383775	0,4414944	0,7192835	0,3755671	0,08810172	0,48149717	0,014170954	0,023714576	0,07352079	0,07700843
31	0,27023914	0,64659745	0,89795715	0,5536586	0,71547365	0,32784528	0,03004469	0,3206391	0,014287204	0,025557265	0,071998164	0,12570232
32	0,27393275	0,68985677	0,92323685	0,6590004	0,7116638	0,28284216	0,009747771	0,17091244	0,014403453	0,027301049	0,06701536	0,17008714
33	0,27762637	0,7298226	0,9353003	0,7258479	0,7078539	0,24125853	0,003105436	0,077096105	0,014519703	0,028918903	0,061594293	0,19705601
34	0,28131998	0,76603425	0,9423453	0,759138	0,7040441	0,20357361	9,82E-04	0,03176674	0,014635952	0,030392125	0,056672342	0,20909527
35	0,2850136	0,7982512	0,94724095	0,77442306	0,70023423	0,17003812	3,10E-04	0,012565546	0,014752202	0,031710647	0,0524493	0,21301141
36	0,2887072	0,82643485	0,95099884	0,78190887	0,69642437	0,14069279	9,75E-05	0,004886603	0,014868451	0,032872383	0,048903637	0,21320455
37	0,2924008	0,8507134	0,95401293	0,7864064	0,6926145	0,11540473	3,07E-05	0,00188704	0,014984701	0,033881888	0,04595642	0,21170658
38	0,29609442	0,871339	0,9564698	0,78994066	0,6888046	0,09391231	9,63E-06	7,26E-04	0,01510095	0,03474869	0,043520585	0,20933288
39	0,29978803	0,88864386	0,9584817	0,7933417	0,68499476	0,07587053	3,02E-06	2,79E-04	0,0152172	0,035485588	0,04151522	0,2063791
40	0,30348164	0,9030015	0,96012986	0,79696	0,68118495	0,060891327	9,49E-07	1,07E-04	0,01533345	0,036107183	0,03986922	0,20293283
41	0,30717525	0,91479546	0,9614781	0,8009583	0,6773751	0,04857586	2,98E-07	4,11E-05	0,015449699	0,03662869	0,038521588	0,19900064
42	0,31086886	0,9243969	0,9625792	0,8054258	0,6735652	0,038537905	9,34E-08	1,57E-05	0,015565949	0,037065234	0,0374207	0,19455844
43	0,31456247	0,93214935	0,9634767	0,8104217	0,66975534	0,030419135	2,93E-08	6,01E-06	0,015682198	0,03743154	0,03652325	0,18957226
44	0,31825608	0,93836015	0,9642069	0,8159903	0,6659455	0,02389764	9,20E-09	2,30E-06	0,015798448	0,03774223	0,035793114	0,18400739
45	0,3219497	0,9432957	0,96479964	0,82216525	0,6621356	0,0186914	2,89E-09	8,75E-07	0,015914697	0,03801291	0,035200328	0,17783387
46	0,3256433	0,9471792	0,9652799	0,8289694	0,6583258	0,014558211	9,06E-10	3,32E-07	0,016030947	0,038262583	0,03472012	0,17103027
47	0,3293369	0,95018816	0,9656679	0,83641255	0,6545159	0,011293357	2,85E-10	1,26E-07	0,016147196	0,03851847	0,034332067	0,1635873
48	0,33303052	0,9524488	0,9659806	0,8444888	0,65070605	0,008725992	8,96E-11	4,77E-08	0,016263446	0,038825236	0,03401939	0,15551114
49	0,33672413	0,9540228	0,9662317	0,8531736	0,6468962	0,006714875	2,83E-11	1,80E-08	0,016379695	0,03926232	0,033768307	0,14682636
50	0,34041774	0,95488095	0,96643245	0,8624219	0,6430863	0,005143834	9,08E-12	6,75E-09	0,016495945	0,039975192	0,033567533	0,1375781
51	0,34411135	0,95485556	0,9665922	0,87216675	0,63927644	0,003917015	3,03E-12	2,52E-09	0,016612194	0,041227393	0,03340783	0,12783326
52	0,34780496	0,9535768	0,9667184	0,8823198	0,63546664	0,002953777	1,13E-12	9,35E-10	0,016728444	0,04346942	0,033281647	0,117680185
53	0,35149854	0,95046484	0,9668172	0,89277345	0,63165677	0,002183146	5,31E-13	3,42E-10	0,016844694	0,04735202	0,033182807	0,10722656
54	0,35519215	0,9451193	0,96689373	0,90340436	0,6278469	0,00154028	3,43E-13	1,21E-10	0,016960943	0,05334039	0,033106275	0,09659562
55	0,35888577	0,93895507	0,9669521	0,9140793	0,624037	9,78E-04	2,84E-13	3,93E-11	0,017077193	0,06006721	0,033047937	0,08592072
56	0,36257938	0,9399816	0,9712976	0,92317724	0,62022716	7,47E-04	9,86E-14	1,39E-11	0,017193442	0,05927114	0,028702358	0,076822735
57	0,366273	0,9400414	0,97517973	0,9318026	0,6164173	6,08E-04	3,42E-14	4,93E-12	0,017309692	0,05935033	0,024820283	0,06819743
58	0,3699666	0,94007546	0,97863114	0,93989503	0,6126075	4,93E-04	1,18E-14	1,74E-12	0,017425941	0,059431624	0,021368835	0,060104977
59	0,3736602	0,94008404	0,9816867	0,94741327	0,6087976	3,98E-04	4,09E-15	6,10E-13	0,01754219	0,059518393	0,018313263	0,052586745
60	0,37735382	0,9400636	0,98438174	0,9543342	0,60498774	3,19E-04	1,41E-15	2,14E-13	0,01765844	0,05961733	0,015618282	0,0456658
61	0,38104743	0,9400037	0,98675084	0,9606515	0,6011779	2,55E-04	4,87E-16	7,47E-14	0,01777469	0,059741773	0,013249161	0,03934851
62	0,38474104	0,93988025	0,9888275	0,96637315	0,597368	2,02E-04	1,68E-16	2,60E-14	0,01789094	0,059917957	0,011172487	0,033626836
63	0,38843465	0,93964547	0,99064326	0,971519	0,59355813	1,59E-04	5,79E-17	9,06E-15	0,018007189	0,06019588	0,009356714	0,028481023
64	0,39212826	0,93921167	0,9922275	0,9761176	0,58974826	1,24E-04	1,99E-17	3,15E-15	0,018123439	0,060664825	0,007772507	0,023882387
65	0,39582187	0,9384423	0,9936071	0,98020405	0,58593845	9,48E-05	6,86E-18	1,09E-15	0,018239688	0,061462946	0,006392917	0,01979598
66	0,39951548	0,9372051	0,9948066	0,98381704	0,5821286	7,10E-05	2,36E-18	3,77E-16	0,018355938	0,06272395	0,005193441	0,01618297
67	0,4032091	0,93569815	0,995848	0,98699737	0,5783187	5,07E-05	8,11E-19	1,30E-16	0,018472187	0,06425117	0,004151991	0,013002649
68	0,4069027	0,93549514	0,9967512	0,98978597	0,57450885	3,26E-05	2,81E-19	4,46E-17	0,018588437	0,06447226	0,003248795	0,010214058
69	0,4105963	0,940618	0,99753374	0,9922228	0,570699	1,69E-05	1,03E-19	1,50E-17	0,018704686	0,05936511	0,002466262	0,007777208
70	0,41428992	0,9533342	0,9982115	0,994347	0,5668891	6,29E-06	4,78E-20	4,82E-18	0,018820936	0,046659466	0,001788524	0,005653019
