stage;init1;init2;init3;conv
1;1.59E-01;0.27054593;3.60E-01;7.42E-10
2;1.63E-01;0.3900731;4.86E-01;7.42E-10
3;1.67E-01;0.41283572;5.10E-01;7.42E-10
4;1.71E-01;0.4348131;5.14E-01;7.43E-10
5;1.74E-01;0.44527757;5.15E-01;7.95E-10
6;1.78E-01;0.449747;5.15E-01;5.58E-09
7;1.82E-01;0.45151615;5.15E-01;4.38E-07
8;1.85E-01;0.45210367;5.14E-01;3.93E-05
9;0.18897972;0.452178;5.14E-01;0.003514134
10;0.19267333;0.45203063;0.51413196;0.26528618
11;0.19636694;0.45178843;0.51395404;0.35708165
12;0.20006055;0.45150644;0.5137764;0.3834925
13;0.20375416;0.45120856;0.51359916;0.39058766
14;0.20744777;0.4509051;0.51342225;0.39236882
15;0.21114138;0.45060053;0.5132457;0.3927096
16;0.21483499;0.4502967;0.5130695;0.39266005
17;0.2185286;0.44999447;0.5128936;0.39250448
18;0.22222221;0.44969416;0.5127181;0.3923202
19;0.22591582;0.44939592;0.5125429;0.39212835
20;0.22960943;0.4490998;0.5123681;0.3919347
21;0.23330304;0.4488058;0.51219356;0.3917409
22;0.23699665;0.42529324;0.5071374;0.34767962
23;0.24069026;0.39560366;0.5055681;0.33237335
24;0.24438387;0.39746252;0.5050134;0.3267877
25;0.24807748;0.39986488;0.50473785;0.3246405
26;0.2517711;0.4010149;0.5045366;0.3237322
27;0.2554647;0.40138838;0.504355;0.32327428
28;0.2591583;0.40137285;0.5041787;0.32298106
29;0.26285192;0.5530712;0.70772177;0.36319372
30;0.26654553;0.6007183;0.8383775;0.4414944
31;0.27023914;0.64659745;0.89795715;0.5536586
32;0.27393275;0.68985677;0.92323685;0.6590004
33;0.27762637;0.7298226;0.9353003;0.7258479
34;0.28131998;0.76603425;0.9423453;0.759138
35;0.2850136;0.7982512;0.94724095;0.77442306
36;0.2887072;0.82643485;0.95099884;0.78190887
37;0.2924008;0.8507134;0.95401293;0.7864064
38;0.29609442;8.71E-01;0.9564698;0.78994066
39;0.29978803;8.89E-01;0.9584817;7.93E-01
40;0.30348164;9.03E-01;0.96012986;7.97E-01
41;0.30717525;9.15E-01;0.9614781;8.01E-01
42;0.31086886;9.24E-01;0.9625792;8.05E-01
43;0.31456247;9.32E-01;0.9634767;8.10E-01
44;0.31825608;9.38E-01;0.9642069;8.16E-01
45;0.3219497;9.43E-01;0.96479964;8.22E-01
46;0.3256433;9.47E-01;0.9652799;8.29E-01
47;0.3293369;9.50E-01;0.9656679;8.36E-01
48;0.33303052;9.52E-01;0.9659806;8.44E-01
49;0.33672413;9.54E-01;0.9662317;8.53E-01
50;0.34041774;9.55E-01;0.96643245;8.62E-01
51;0.34411135;9.55E-01;0.9665922;8.72E-01
52;0.34780496;9.54E-01;0.9667184;8.82E-01
53;0.35149854;9.50E-01;0.9668172;8.93E-01
54;0.35519215;9.45E-01;0.96689373;9.03E-01
55;0.35888577;9.39E-01;0.9669521;9.14E-01
56;0.36257938;9.40E-01;0.9712976;9.23E-01
57;0.366273;9.40E-01;0.97517973;9.32E-01
58;0.3699666;9.40E-01;0.97863114;9.40E-01
59;0.3736602;9.40E-01;0.9816867;9.47E-01
60;0.37735382;9.40E-01;0.98438174;9.54E-01
61;0.38104743;9.40E-01;0.98675084;9.61E-01
62;0.38474104;9.40E-01;0.9888275;9.66E-01
63;0.38843465;9.40E-01;0.99064326;9.72E-01
64;0.39212826;9.39E-01;0.9922275;9.76E-01
65;0.39582187;9.38E-01;0.9936071;9.80E-01
66;0.39951548;9.37E-01;0.9948066;9.84E-01
67;0.4032091;9.36E-01;0.995848;9.87E-01
68;0.4069027;9.35E-01;0.9967512;9.90E-01
69;0.4105963;9.41E-01;0.99753374;9.92E-01
70;0.41428992;9.53E-01;0.9982115;9.94E-01
